id,specie_id,nome,generazione,descrizione,tipo1,tipo2,abilita_base,abilita_nascosta,altezza,peso,categoria,gruppo_uova1,gruppo_uova2,hpstat,atkstat,defstat,spatkstat,spdefstat,spdstat,immagine
1,1,Bulbasaur,1,"Un seme strano è stato piantato sulla sua schiena alla nascita. La pianta germoglia e cresce con questo Pokémon.",Erba,Veleno,Erbaiuto,Clorofilla,0.7,6.9,Seme,Mostro,Erba,45,49,49,65,65,45,pokemon_1.png
2,2,Ivysaur,1,"Quando la pianta sul suo dorso si gonfia, diventa più forte perché assume più sostanze nutritive.",Erba,Veleno,Erbaiuto,Clorofilla,1,13,Seme,Mostro,Erba,60,62,63,80,80,60,pokemon_2.png
3,3,Venusaur,1,"Il fiore sulla schiena di questo Pokémon sboccia quando riceve energia solare.",Erba,Veleno,Erbaiuto,Clorofilla,2,100,Seme,Mostro,Erba,80,82,83,100,100,80,pokemon_3.png
4,4,Charmander,1,"Le fiamme che bruciano alla fine della sua coda indicano la sua forza vitale. Se la coda si spegne, il Pokémon morirà.",Fuoco,,Aiutofuoco,Solarpotere,0.6,8.5,Lucertola,Mostro,Drago,39,52,43,60,50,65,pokemon_4.png
5,5,Charmeleon,1,"Quando diventa arrabbiato, le fiamme sulla sua coda bruciano più intensamente. Non riesce a contenere la sua rabbia.",Fuoco,,Aiutofuoco,Solarpotere,1.1,19.0,Lucertola,Mostro,Drago,58,64,58,80,65,80,pokemon_5.png
6,6,Charizard,1,"Quando vola alto nel cielo, è indistinguibile da una stella cadente. Le fiamme sulla sua coda brillano di intensità.",Fuoco,Volante,Aiutofuoco,Solarpotere,1.7,90.5,Fiamma,Mostro,Drago,78,84,78,109,85,100,pokemon_6.png
7,7,Squirtle,1,"Quando si ritira nel suo guscio, si contrae leggermente per difendersi dagli attacchi.",Acqua,,Acquaiuto,Copripioggia,0.5,9.0,Tartaruga,Mostro,Acqua1,44,48,65,50,64,43,pokemon_7.png
8,8,Wartortle,1,"La coda di Wartortle è ricoperta di un denso strato di pelliccia. Rimuoverlo provoca irritazione al Pokémon.",Acqua,,Acquaiuto,Copripioggia,1.0,22.5,Tartaruga,Mostro,Acqua1,59,63,80,65,80,58,pokemon_8.png
9,9,Blastoise,1,"Le sue forti spalle lo aiutano a sparare proiettili d'acqua con una forza tale da distruggere un edificio.",Acqua,,Acquaiuto,Copripioggia,1.6,85.5,Marino,Mostro,Acqua1,79,83,100,85,105,78,pokemon_9.png
10,10,Caterpie,1,"Per proteggersi, emette un fetore orribile da ghiandole sotto il suo corpo, aprendo enormi occhi sul dorso.",Coleottero,,Polvoscudo,Fugafacile,0.3,2.9,Baco,Insetto,Non indicato,45,30,35,20,20,45,pokemon_10.png
11,11,Metapod,1,"Ha un corpo rigido. Come si evolve, diventa più forte, ma anche più rigido e inabile a muoversi.",Coleottero,,Muta,Nessuna,0.7,9.9,Bozzolo,Insetto,Non indicato,50,20,55,25,25,30,pokemon_11.png
12,12,Butterfree,1,"L'estrusione di polvere di questo Pokémon è tossica. Gli insetti avvelenati perdono le loro forze dopo pochi minuti.",Coleottero,Volante,Insettocchi,Lentifumé,1.1,32.0,Farfalla,Insetto,Uova,60,45,50,90,80,70,pokemon_12.png
13,13,Weedle,1,"Con il suo pungiglione velenoso sulla testa, Weedle tenta di proteggersi dagli attacchi riparandosi nel fogliame.",Coleottero,Veleno,Polvoscudo,Fugafacile,0.3,3.2,Insetto,Insetto,Non indicato,40,35,30,20,20,50,pokemon_13.png
14,14,Kakuna,1,"Ha uno strato duro e molto resistente che è stato sviluppato per proteggerlo. Tuttavia, impedisce anche di muoversi.",Coleottero,Veleno,Muta,Nessuna,0.6,10.0,Insetto,Insetto,Non indicato,45,25,50,25,25,35,pokemon_14.png
